x,r
0.0,0.0
0.003074,0.031214
0.012179,0.061229
0.026965,0.088891
0.046863,0.113137
0.071109,0.133035
0.098771,0.147821
0.128786,0.156926
0.16,0.16
0.189048,0.16
0.218095,0.16
0.247143,0.16
0.27619,0.16
0.305238,0.16
0.334286,0.16
0.363333,0.16
0.392381,0.16
0.421429,0.16
0.450476,0.16
0.479524,0.16
0.508571,0.16
0.537619,0.16
0.566667,0.16
0.595714,0.16
0.624762,0.16
0.653809,0.16
0.682857,0.16
0.711905,0.16
0.740952,0.16
0.77,0.16
0.798435,0.152381
0.826869,0.144762
0.855304,0.137143
0.883739,0.129524
0.912173,0.121905
0.940608,0.114286
0.969043,0.106667
0.997477,0.099048
1.025912,0.091429
1.054347,0.08381
1.082781,0.07619
1.111216,0.068571
1.139651,0.060952
1.168085,0.053333
1.19652,0.045714
1.224954,0.038095
1.253389,0.030476
1.281824,0.022857
1.310258,0.015238
1.338693,0.007619
1.367128,0.0
