alpha,cl,cd,cm
-18.5,-1.132,0.0636,-0.1005
-18,-1.1666,0.05332,-0.1057
-17.5,-1.191,0.04516,-0.1088
-17,-1.1768,0.03895,-0.1138
-16.5,-1.1605,0.03292,-0.1192
-16,-1.1403,0.0283,-0.1224
-15.5,-1.1186,0.02513,-0.1226
-15,-1.0996,0.02189,-0.1225
-14.5,-1.0671,0.01978,-0.1221
-14,-1.034,0.01786,-0.1214
-13.5,-1.0042,0.01618,-0.1193
-13,-0.9701,0.01491,-0.1163
-12.5,-0.9281,0.01413,-0.1136
-12,-0.8819,0.01329,-0.1115
-11.5,-0.8332,0.0124,-0.1098
-11,-0.7782,0.0119,-0.109
-10.5,-0.729,0.01102,-0.1074
-10,-0.6766,0.01032,-0.1063
-9.5,-0.6219,0.00979,-0.1055
-9,-0.5664,0.00929,-0.1048
-8.5,-0.5079,0.00894,-0.1048
-8,-0.4476,0.00855,-0.1052
-7.5,-0.3846,0.00815,-0.1062
-7,-0.3273,0.00786,-0.106
-6.5,-0.2719,0.00763,-0.1053
-6,-0.2188,0.00735,-0.1042
-5.5,-0.167,0.00706,-0.1029
-5,-0.1149,0.00684,-0.1016
-4.5,-0.0647,0.00661,-0.0999
-4,-0.0154,0.0064,-0.0981
-3.5,0.0336,0.00615,-0.0962
-3,0.0809,0.00589,-0.0939
-2.5,0.1243,0.00554,-0.0909
-2,0.165,0.00519,-0.0873
-1.5,0.2081,0.00497,-0.0842
-1,0.2579,0.00489,-0.0824
-0.5,0.3092,0.00487,-0.081
0,0.3623,0.00488,-0.08
0.5,0.4182,0.00492,-0.0796
1,0.4759,0.00498,-0.0797
1.5,0.5344,0.00508,-0.0799
2,0.5939,0.00521,-0.0804
2.5,0.6553,0.00536,-0.0814
3,0.7197,0.00553,-0.083
3.5,0.7848,0.00577,-0.0849
4,0.8582,0.00601,-0.0886
4.5,0.9206,0.00635,-0.0899
5,0.9726,0.00688,-0.0891
5.5,1.0122,0.0078,-0.0859
6,1.052,0.00863,-0.0828
7,1.1255,0.01046,-0.0758
7.5,1.1585,0.01154,-0.072
8,1.1962,0.01247,-0.069
8.5,1.2303,0.01358,-0.0655
9,1.2673,0.01462,-0.0627
9.5,1.3046,0.01572,-0.0601
10,1.355,0.01695,-0.0605
10.5,1.3842,0.01851,-0.0569
11,1.4087,0.02041,-0.0531
11.5,1.4374,0.02218,-0.0499
12,1.464,0.02419,-0.0468
12.5,1.4903,0.02635,-0.0439
13,1.5131,0.02889,-0.0411
13.5,1.5334,0.03172,-0.0383
14,1.554,0.0347,-0.0358
14.5,1.5702,0.03813,-0.0334
15,1.5839,0.04194,-0.0313
15.5,1.5928,0.04633,-0.0292
16,1.6079,0.0503,-0.0278
16.5,1.6154,0.05516,-0.0265
17,1.6251,0.05991,-0.0255
17.5,1.6242,0.06596,-0.0249
18,1.6257,0.07191,-0.0246
18.5,1.6165,0.07927,-0.0249
19,1.6139,0.08607,-0.0256
19.5,1.6039,0.09392,-0.0268
